Comment,Designator,Footprint,LCSC Part #
0R,F1,R_0603_1608Metric,
100nF,"C4,C5,C7",C_0603_1608Metric,
10k,R5,R_0603_1608Metric,
10uF,C3,C_0805_2012Metric,
1N4148WS,D3,SOD-323_L1.8-W1.3-LS2.5-RD,C2128
1uF,"C1,C2",C_0603_1608Metric,
330,R4,R_0603_1608Metric,
5.1k,"R6,R7",R_0603_1608Metric,
AP2112K-3.3,U2,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118
ESP32-C3-MINI-1,U1,WIFIM-SMD_ESP32-C3-MINI-1,C2934569
SW-PUSH,SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,C115360
USB-C-TYPE-C-31-M-12,J1,USB-C_SMD-TYPE-C-31-M-12_1,C165948
USBLC6-2SC6,D2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519
WS2812B,D1,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,C2761795
