Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",6.000000,-27.000000,90.000000,top
"C2","1uF","C_0603_1608Metric",6.000000,-30.000000,90.000000,top
"C3","10uF","C_0805_2012Metric",12.500000,-18.000000,0.000000,top
"C4","100nF","C_0603_1608Metric",16.000000,-18.000000,0.000000,top
"C5","100nF","C_0603_1608Metric",27.500000,-18.000000,0.000000,top
"C6","470uF","C_0805_2012Metric",31.000000,-25.000000,90.000000,top
"C7","100nF","C_0603_1608Metric",14.000000,-24.000000,90.000000,top
"D1","WS2812B","LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B",20.000000,-24.000000,0.000000,top
"D2","USBLC6-2SC6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",31.000000,-30.000000,0.000000,top
"D3","1N4148WS","SOD-323_L1.8-W1.3-LS2.5-RD",17.000000,-20.000000,0.000000,top
"F1","0R","R_0603_1608Metric",10.000000,-30.000000,0.000000,top
"J1","USB-C-TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12_1",20.000000,-36.300000,0.000000,top
"P1","WS2812-EXT-1x3","PinHeader_1x03_P2.54mm_Vertical",35.500000,-24.000000,0.000000,top
"R4","330","R_0603_1608Metric",26.000000,-26.000000,90.000000,top
"R5","10k","R_0603_1608Metric",24.000000,-18.000000,0.000000,top
"R6","5.1k","R_0603_1608Metric",13.000000,-30.000000,0.000000,top
"R7","5.1k","R_0603_1608Metric",21.750000,-31.600000,90.000000,top
"SW1","SW-PUSH","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",35.000000,-10.000000,0.000000,top
"U1","ESP32-C3-MINI-1","WIFIM-SMD_ESP32-C3-MINI-1",20.000000,-9.500000,0.000000,top
"U2","AP2112K-3.3","SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL",6.000000,-23.000000,90.000000,top
